Frontier:Nebraska, United States
Fulton:Illinois, United States
Fulton:New York, United States
Fulton:Ohio, United States
Furas:Nebraska, United States
Furnas:Nebraska, United States
Gage:Nebraska, United States
Gallatin:Illinois, United States
Gallia:Ohio, United States
Galveston:Texas, United States
Garden:Nebraska, United States
Gasconade:Missouri, United States
Geauga:Ohio, United States
Genesee:New York, United States
Gentry:Missouri, United States
Gila:Arizona, United States
Glacier:Montana, United States
Glades:Florida, United States
Goochland:Virginia, United States
Gosper:Nebraska, United States
Grafton:New Hampshire, United States
Graham:North Carolina, United States
Grand Isle:Vermont, United States
Grant:Nebraska, United States
Grant:New Mexico, United States
Grant:Wisconsin, United States
Grays Harbor:Washington, United States
Greeley:Nebraska, United States
Green Lake:Wisconsin, United States
Green:Wisconsin, United States
Greene:Illinois, United States
Greene:Missouri, United States
Greene:New York, United States
Greene:Ohio, United States
Greene:Pennsylvania, United States
Greer:Oklahoma, United States
Grenada:Mississippi, United States
Grundy:Illinois, United States
Guadalupe:New Mexico, United States
Guernsey:Ohio, United States
Hall:Georgia, United States
Hall:Nebraska, United States
Hamilton:Illinois, United States
Hamilton:Nebraska, United States
Hamilton:New York, United States
Hamilton:Ohio, United States
Hampden:Massachusetts, United States
Hampshire:Massachusetts, United States
Hancock:Illinois, United States
Hancock:Maine, United States
Hancock:Ohio, United States
Hardin:Illinois, United States
Hardin:Ohio, United States
Hardin:Tennessee, United States
Harding:New Mexico, United States
Harford:Maryland, United States
Harlan:Nebraska, United States
Harris Township Centre:Pennsylvania, United States
Harris:Texas, United States
Harrison:Ohio, United States
Hartford:Connecticut, United States
Hawaii:Hawaii, United States
Hayes:Nebraska, United States
Hays:Texas, United States
Heard:Georgia, United States
Henderson:Illinois, United States
Henderson:North Carolina, United States
Henry:Illinois, United States
Henry:Iowa, United States
Henry:Missouri, United States
Henry:Ohio, United States
Herkimer:New York, United States
Hertford:North Carolina, United States
Hickory:Missouri, United States
Hidalgo:New Mexico, United States
Highland:Ohio, United States
Highland:Virginia, United States
Hillsborough:Florida, United States
Hillsborough:New Hampshire, United States
Hitchcock:Nebraska, United States
Hocking:Ohio, United States
Holmes:Ohio, United States
Holt:Missouri, United States
Holt:Nebraska, United States
Honolulu:Hawaii, United States
Hooker:Nebraska, United States
Houghton:Michigan, United States
Howard:Nebraska, United States
Humboldt:California, United States
Hunterdon:New Jersey, United States
Huron:Ohio, United States
Iowa:Wisconsin, United States
Iron:Missouri, United States
Jackson:Alabama, United States
Jackson:Illinois, United States
Jackson:Missouri, United States
Jackson:North Carolina, United States
Jackson:Ohio, United States
Jackson:South Dakota, United States
Jackson:Tennessee, United States
Jackson:Wisconsin, United States
Jasper:Illinois, United States
Jasper:Missouri, United States
Jefferson:Arkansas, United States
Jefferson:Illinois, United States
Jefferson:Kansas, United States
Jefferson:Kentucky, United States
Jefferson:Missouri, United States
Jefferson:Nebraska, United States
Jefferson:New York, United States
Jefferson:Ohio, United States
Jefferson:Wisconsin, United States
Jersey:Illinois, United States
Jo Daviess:Illinois, United States
Johnson:Illinois, United States
Johnson:Kansas, United States
Johnson:Missouri, United States
Johnson:Nebraska, United States
Jones:Iowa, United States
Judith Basin:Montana, United States
Juneau:Wisconsin, United States
Juniata:Pennsylvania, United States
Kalamazoo:Michigan, United States
Kanawha:West Virginia, United States
Kane:Illinois, United States
Kane:Utah, United States
Kankakee:Illinois, United States
Kaufman:Texas, United States
Kearney:Nebraska, United States
Keith:Nebraska, United States
Kendall:Illinois, United States
Kennebec:Maine, United States
Kenosha:Wisconsin, United States
Kent:Delaware, United States
Kent:Rhode Island, United States
Kern:California, United States
Kewaunee:Wisconsin, United States
Keya Paha:Nebraska, United States
Kimball:Nebraska, United States
Kitsap:Washington, United States
Knox:Illinois, United States
Knox:Maine, United States
Knox:Missouri, United States
Knox:Nebraska, United States
Knox:Ohio, United States
Kootenai:Idaho, United States
La Crosse:Wisconsin, United States
Lackawanna:Pennsylvania, United States
Laclede:Missouri, United States
Lafayette:Wisconsin, United States
Lake:Illinois, United States
Lake:Ohio, United States
Lake:South Dakota, United States
Lamoille:Vermont, United States
Lancaster:Nebraska, United States
Langlade:Wisconsin, United States
Las Animas:Colorado, United States
Lawrence:Illinois, United States
Lawrence:Missouri, United States
Lawrence:Ohio, United States
Lee:Florida, United States
Lee:Illinois, United States
Lehigh:Pennsylvania, United States
Lenawee:Michigan, United States
Lewis:New York, United States
Licking:Ohio, United States
Lincoln:Maine, United States
Lincoln:Missouri, United States
Lincoln:Nebraska, United States
Lincoln:New Mexico, United States
Litchfield:Connecticut, United States
Livingston:Illinois, United States
Livingston:Michigan, United States
Livingston:Missouri, United States
Livingston:New York, United States
Llano:Texas, United States
Logan:Illinois, United States
Logan:Nebraska, United States
Logan:Ohio, United States
Lorain:Ohio, United States
Los Angeles:California, United States
Loudon:Tennessee, United States
Loudoun:Virginia, United States
Louisa:Virginia, United States
Lubbock:Texas, United States
Lucas:Ohio, United States
Luce:Michigan, United States
Luna:New Mexico, United States
Luzerne:Pennsylvania, United States
Macon:Illinois, United States
Macon:Missouri, United States
Macoupin:Illinois, United States
Madison:Illinois, United States
Madison:Missouri, United States
Madison:Nebraska, United States
Madison:New York, United States
Madison:Ohio, United States
Madison:Virginia, United States
Mahaska:Iowa, United States
Mahoning:Ohio, United States
Malheur:Oregon, United States
Manitowoc:Wisconsin, United States
Marathon:Wisconsin, United States
Maricopa:Arizona, United States
Marinette:Wisconsin, United States
Marion:Illinois, United States
Marion:Kansas, United States
Marion:Ohio, United States
Marion:Oregon, United States
Marquette:Wisconsin, United States
Marshall:Illinois, United States
Marshall:Kentucky, United States
Martin:Florida, United States
Mason:Illinois, United States
Mason:Washington, United States
Massac:Illinois, United States
Maui:Hawaii, United States
Meade:South Dakota, United States
Medina:Ohio, United States
Meigs:Ohio, United States
Menard:Illinois, United States
Mercer:Illinois, United States
Mercer:Missouri, United States
Mercer:Ohio, United States
Mercer:Pennsylvania, United States
Merrick:Nebraska, United States
Merrimack:New Hampshire, United States
Miami:Ohio, United States
Middlesex:Connecticut, United States
Middlesex:Massachusetts, United States
Middlesex:Virginia, United States
Mifflin:Pennsylvania, United States
Miller:Missouri, United States
Mills:Iowa, United States
Milwaukee:Wisconsin, United States
Mississippi:Missouri, United States
Mohave:Arizona, United States
Monmouth:New Jersey, United States
Monroe:Florida, United States
Monroe:Illinois, United States
Monroe:Michigan, United States
Monroe:Missouri, United States
Monroe:New York, United States
Monroe:Ohio, United States
Monroe:Pennsylvania, United States
Monroe:Wisconsin, United States
Montcalm:Michigan, United States
Monterey:California, United States
Montgomery:Illinois, United States
Montgomery:Maryland, United States
Montgomery:Missouri, United States
Montgomery:New York, United States
Montgomery:Ohio, United States
Montgomery:Pennsylvania, United States
Montgomery:Texas, United States
Moore:North Carolina, United States
Mora:New Mexico, United States
Morgan:Colorado, United States
Morgan:Illinois, United States
Morgan:Ohio, United States
Morrill:Nebraska, United States
Morris:New Jersey, United States
Morrow:Ohio, United States
Moultrie:Illinois, United States
Multnomah:Oregon, United States
Muskingum:Ohio, United States
Nance:Nebraska, United States
Napa:California, United States
Nassau:Florida, United States
Nassau:New York, United States
Navajo:Arizona, United States
Nemaha:Nebraska, United States
New Castle:Delaware, United States
New Haven:Connecticut, United States
New London:Connecticut, United States
New Madrid:Missouri, United States
Newton:Indiana, United States
Newton:Missouri, United States
Niagara:New York, United States
Noble:Ohio, United States
Northumberland:Virginia, United States
Nuckolls:Nebraska, United States
Nye:Nevada, United States
Oakland:Michigan, United States
Oconto:Wisconsin, United States
Oglala Lakota:South Dakota, United States
Ogle:Illinois, United States
Ohio:West Virginia, United States
Oklahoma:Oklahoma, United States
Oliver:North Dakota, United States
Oneida:New York, United States
Onondaga:New York, United States
Ontario:New York, United States
Ontonagon:Michigan, United States
Orange:New York, United States
Orange:Vermont, United States
Orleans:New York, United States
Orleans:Vermont, United States
Osage:Missouri, United States
Oswego:New York, United States
Otero:New Mexico, United States
Otoe:Nebraska, United States
Otsego:New York, United States
Ottawa:Ohio, United States
Outagamie:Wisconsin, United States
Oxford:Maine, United States
Ozark:Missouri, United States
Ozaukee:Wisconsin, United States
Palm Beach:Florida, United States
Panola:Mississippi, United States
Park:Montana, United States
Paulding:Ohio, United States
Pawnee:Nebraska, United States
Pecos:West Texas, United States
Pemiscot:Missouri, United States
Pender:North Carolina, United States
Peoria:Illinois, United States
Pepin:Wisconsin, United States
Perkins:Nebraska, United States
Perry:Illinois, United States
Perry:Missouri, United States
Perry:Ohio, United States
Pettis:Missouri, United States
Phelps:Nebraska, United States
Phillips:Montana, United States
Piatt:Illinois, United States
Pickaway:Ohio, United States
Pierce:Nebraska, United States
Pierce:Wisconsin, United States
Pike:Illinois, United States
Pike:Kentucky, United States
Pike:Missouri, United States
Pike:Ohio, United States
Pima:Arizona, United States
Pinal:Arizona, United States
Pine:Minnesota, United States
Pitkin:Colorado, United States
Pitt:North Carolina, United States
Platte:Nebraska, United States
Pocahontas:Iowa, United States
Polk:Florida, United States
Polk:Missouri, United States
Polk:Nebraska, United States
Polk:Wisconsin, United States
Pope:Illinois, United States
Portage:Ohio, United States
Portage:Wisconsin, United States
Powhatan:Virginia, United States
Preble:Ohio, United States
Presidio:Texas, United States
Price:Wisconsin, United States
Prince Edward:Virginia, United States
Prince William:Virginia, United States
Providence:Rhode Island, United States
Pulaski:Arkansas, United States
Pulaski:Illinois, United States
Putnam:Illinois, United States
Putnam:New York, United States
Putnam:Ohio, United States
Quay:New Mexico, United States
Racine:Wisconsin, United States
Ralls:Missouri, United States
Randall:Texas, United States
Randolph:Illinois, United States
Randolph:Missouri, United States
Rankin:Mississippi, United States
Red Willow:Nebraska, United States
Rensselaer:New York, United States
Richardson:Nebraska, United States
Richarson:Nebraska, United States
Richland:Illinois, United States
Richland:Ohio, United States
Richland:South Carolina, United States
Richland:Wisconsin, United States
Richmond:Virginia, United States
Rio Arriba:New Mexico, United States
Riverside:California, United States
Roberts:South Dakota, United States
Robertson:Kentucky, United States
Rock Island:Illinois, United States
Rock:Nebraska, United States
Rock:Wisconsin, United States
Rockingham:New Hampshire, United States
Rockland:New York, United States
Roosevelt:New Mexico, United States
Ross:Ohio, United States
Routt:Colorado, United States
Rusk:Wisconsin, United States
Rutherford:North Carolina, United States
Sagadahoc:Maine, United States
Sainte Genevieve:Missouri, United States
Saline:Illinois, United States
Saline:Missouri, United States
Saline:Nebraska, United States
San Bernardino:California, United States
San Diego:California, United States
San Joaquin:California, United States
San Juan:Washington, United States
San Luis Obispo:California, United States
San Miguel:Colorado, United States
San Miguel:New Mexico, United States
Sandoval:New Mexico, United States
Sandusky:Ohio, United States
Sangamon:Illinois, United States
Santa Fe:New Mexico, United States
Sarasota:Florida, United States
Saratoga:New York, United States
Sauk:Wisconsin, United States
Saunder:Nebraska, United States
Saunders:Nebraska, United States
Sawyer:Wisconsin, United States
Schenectady:New York, United States
Schoharie:New York, United States
Schuyler:Illinois, United States
Schuyler:Missouri, United States
Schuyler:New York, United States
Schuylkill:Pennsylvania, United States
